ORG_CODE,ORG_NAME,F50to54,F55to59,F60to64,F65to69,F70to74,F75to77,M50to54,M55to59,M60to64,M65to69,M70to74,M75to77,IMD1,IMD2,IMD3,IMD4,IMD5,IMD_TOTAL,BoCaCoverage,distance,Overall_Ranked_Quintile,LOCATION,POSTCODE.y
G85130,MAWBEY GROUP PRACTICE,302,287,221,137,103,39,347,349,270,158,96,45,2015,8104,776,66,21,10989,49.0909090909091,3587.5881779208,4,KingsCollegeLondon,SE1 1UL
G85086,THE SOUTH LAMBETH RD PRACTICE,241,233,197,135,105,51,347,314,190,113,93,29,1784,6072,1293,105,30,9303,55.1365409622887,3744.02287317175,3,KingsCollegeLondon,SE1 1UL
G85123,BINFIELD ROAD SURGERY,241,211,206,108,85,40,320,296,230,130,99,32,2492,4588,1370,36,18,8510,48.5333333333333,4093.13323770905,2,KingsCollegeLondon,SE1 1UL
G85100,BECKETT HOUSE PRACTICE,224,236,165,102,57,21,302,284,178,111,61,23,2830,4052,862,100,31,7884,44.0261865793781,4379.26619349024,1,KingsCollegeLondon,SE1 1UL
Y00020,THE GRANTHAM CENTRE PRACTICE,188,195,148,104,90,39,311,268,202,97,79,46,2774,5384,1240,101,35,9542,54.3478260869565,4379.26619349024,2,KingsCollegeLondon,SE1 1UL
G85673,SPRINGFIELD MEDICAL CENTRE,220,175,110,88,50,13,252,195,126,69,41,17,1452,4498,762,49,18,6783,43.7632135306554,4664.90912095195,1,KingsCollegeLondon,SE1 1UL
G85083,SANDMERE PRACTICE,373,369,281,188,135,48,503,481,349,160,92,35,3120,6862,2130,475,143,12743,46.0405156537753,5180.61823507319,1,KingsCollegeLondon,SE1 1UL
G85708,DR CURRAN & PARTNERS,267,248,194,120,85,52,302,263,177,133,94,32,1351,5084,3281,1066,326,11113,56.8364611260054,5273.36149809437,4,KingsCollegeLondon,SE1 1UL
G85011,CLAPHAM FAMILY PRACTICE,520,411,322,223,178,80,700,527,330,195,140,56,2828,9163,5662,2081,868,20622,53.0660377358491,5348.20447594029,3,KingsCollegeLondon,SE1 1UL
G85045,HETHERINGTON GROUP PRACTICE,260,295,195,165,125,55,305,322,202,126,107,43,2152,4092,2190,265,30,8739,49.9437570303712,5356.64001742798,1,KingsCollegeLondon,SE1 1UL
G85674,GRAFTON SQUARE SURGERY,104,99,97,54,45,18,126,100,91,58,40,16,535,1484,2400,1442,347,6216,48.3180428134557,5497.25235324877,4,KingsCollegeLondon,SE1 1UL
G85025,BRIXTON HILL GROUP PRACTICE,328,357,249,142,73,33,395,367,238,144,96,35,2007,7598,1985,57,7,11668,51.030303030303,5996.69420269772,1,KingsCollegeLondon,SE1 1UL
G85137,BROCKWELL PARK SURGERY,226,213,185,120,92,37,245,202,163,108,81,25,1603,4576,1593,1718,129,9624,63.125,6059.74060534208,4,KingsCollegeLondon,SE1 1UL
G85109,CLAPHAM PARK GROUP PRACTICE,444,409,326,218,175,82,465,416,326,184,127,67,2048,4569,9197,2070,1405,19356,56.9086651053864,6477.59849684907,4,KingsCollegeLondon,SE1 1UL
G85041,PALACE ROAD SURGERY,257,277,209,138,124,62,349,328,250,168,106,48,1279,4403,1734,212,23,7654,48.1727574750831,6900.29852620758,2,KingsCollegeLondon,SE1 1UL
G83021,VANBRUGH GROUP PRACTICE,436,368,309,252,211,115,492,382,329,169,161,91,2051,8341,4371,3057,5,17842,55.688622754491,7057.57939823717,4,KingsCollegeLondon,SE1 1UL
Y03755,GREENWICH PENINSULA,232,197,147,95,74,41,244,198,129,90,73,33,2123,2859,4999,367,25,10375,59.0277777777778,7129.07000102696,4,KingsCollegeLondon,SE1 1UL
G85724,EDITH CAVELL PRACTICE,516,472,308,184,122,47,600,508,296,151,110,39,2128,10139,8219,1631,375,22522,60.4095563139932,7257.1655838563,2,KingsCollegeLondon,SE1 1UL
G85129,THE DEERBROOK SURGERY,166,142,107,53,54,19,234,194,117,76,47,13,669,2586,1826,207,10,5305,50,7308.2444777064,3,KingsCollegeLondon,SE1 1UL
G85706,THE OLD DAIRY HEALTH CENTRE,237,197,139,104,92,54,223,165,151,95,78,43,310,1367,2662,1577,10,5934,65.8105939004815,7362.7350427829,4,KingsCollegeLondon,SE1 1UL
G85662,THE STREATHAM HILL GROUP PRACTICE,241,268,205,155,99,52,278,276,216,159,99,35,436,3269,2592,691,34,7025,41.9101123595506,7712.72255778549,2,KingsCollegeLondon,SE1 1UL
G85047,KNIGHTS HILL SURGERY SUITE 1,318,241,192,119,96,47,352,254,181,103,83,47,1896,3982,4532,236,6,10659,49.685534591195,7868.85828851417,3,KingsCollegeLondon,SE1 1UL
G85061,WOOLSTONE MEDICAL CENTRE,275,319,227,165,129,65,265,284,213,130,108,53,1260,2967,3420,110,54,7815,58.1901489117984,8043.8354505145,4,KingsCollegeLondon,SE1 1UL
G85039,PAXTON GREEN GROUP PRACTICE,683,623,499,389,332,190,691,633,452,300,308,156,6029,4721,7574,1098,25,19464,53.1623175586024,8065.8662906746,4,KingsCollegeLondon,SE1 1UL
